clothing_item_w,min_weight,max_weight,avg_weight
underpants,15,30,22.5
shorts,150,250,200
bra,40,70,55
skirt,200,300,250
swimsuit,90,120,105
sweater,300,400,350
tube_top,70,85,77.5
hoodie,400,500,450
tshirt,100,140,120
jacket,230,400,315
shirt,100,250,175
coat,600,900,750
dress,120,350,235
windbreaker,400,600,500
evening_dress,120,500,310
light_jacket,600,800,700
wedding_dress,800,2000,1400
winter_jacket,800,1000,900
business_suit,800,950,875
fur_coat,3000,4000,3500
sports_suit,650,750,700
hat,60,120,90
pants,300,400,350
scarf,90,150,120
leggings,260,300,280
gloves,40,100,70
